timestamp,program_slug,university_slug,old_fee_status,new_fee_status,old_annual_tuition_usd,new_annual_tuition_usd,source_urls
2026-08-02T21:19:44.495Z,artificial-intelligence-bsc-fau,fau-erlangen-nurnberg,,on_request,0,0,"https://www.fau.eu/studying/international-students/application-and-enrollment-for-international-applicants/tuition-fees-for-students-from-non-eu-states/ | https://www.fau.de/studium/international-studierende/bewerbung-und-einschreibung-fuer-internationale/studiengebuehren-fuer-studierende-aus-nicht-eu-staaten/ | https://www.fau.eu/2026/07/news/einfuehrung-von-studiengebuehren-fuer-zukuenftige-internationale-studierende-aus-nicht-eu-staaten/"
2026-08-02T21:19:44.548Z,chemical-engineering-sustainable-bsc-fau,fau-erlangen-nurnberg,,on_request,0,0,"https://www.fau.eu/studying/international-students/application-and-enrollment-for-international-applicants/tuition-fees-for-students-from-non-eu-states/ | https://www.fau.de/studium/international-studierende/bewerbung-und-einschreibung-fuer-internationale/studiengebuehren-fuer-studierende-aus-nicht-eu-staaten/ | https://www.fau.eu/2026/07/news/einfuehrung-von-studiengebuehren-fuer-zukuenftige-internationale-studierende-aus-nicht-eu-staaten/"
2026-08-02T21:19:44.601Z,informatik-bsc-fau,fau-erlangen-nurnberg,,on_request,0,0,"https://www.fau.eu/studying/international-students/application-and-enrollment-for-international-applicants/tuition-fees-for-students-from-non-eu-states/ | https://www.fau.de/studium/international-studierende/bewerbung-und-einschreibung-fuer-internationale/studiengebuehren-fuer-studierende-aus-nicht-eu-staaten/ | https://www.fau.eu/2026/07/news/einfuehrung-von-studiengebuehren-fuer-zukuenftige-internationale-studierende-aus-nicht-eu-staaten/"
2026-08-02T21:19:44.742Z,data-science-bsc-fau,fau-erlangen-nurnberg,,on_request,0,0,"https://www.fau.eu/studying/international-students/application-and-enrollment-for-international-applicants/tuition-fees-for-students-from-non-eu-states/ | https://www.fau.de/studium/international-studierende/bewerbung-und-einschreibung-fuer-internationale/studiengebuehren-fuer-studierende-aus-nicht-eu-staaten/ | https://www.fau.eu/2026/07/news/einfuehrung-von-studiengebuehren-fuer-zukuenftige-internationale-studierende-aus-nicht-eu-staaten/"
2026-08-02T21:19:44.796Z,international-production-engineering-management-bsc-fau,fau-erlangen-nurnberg,,on_request,0,0,"https://www.fau.eu/studying/international-students/application-and-enrollment-for-international-applicants/tuition-fees-for-students-from-non-eu-states/ | https://www.fau.de/studium/international-studierende/bewerbung-und-einschreibung-fuer-internationale/studiengebuehren-fuer-studierende-aus-nicht-eu-staaten/ | https://www.fau.eu/2026/07/news/einfuehrung-von-studiengebuehren-fuer-zukuenftige-internationale-studierende-aus-nicht-eu-staaten/"
2026-08-02T21:19:44.850Z,mechanical-engineering-bsc-fau,fau-erlangen-nurnberg,,on_request,0,0,"https://www.fau.eu/studying/international-students/application-and-enrollment-for-international-applicants/tuition-fees-for-students-from-non-eu-states/ | https://www.fau.de/studium/international-studierende/bewerbung-und-einschreibung-fuer-internationale/studiengebuehren-fuer-studierende-aus-nicht-eu-staaten/ | https://www.fau.eu/2026/07/news/einfuehrung-von-studiengebuehren-fuer-zukuenftige-internationale-studierende-aus-nicht-eu-staaten/"
2026-08-02T21:19:44.902Z,mechatronics-bsc-fau,fau-erlangen-nurnberg,,on_request,0,0,"https://www.fau.eu/studying/international-students/application-and-enrollment-for-international-applicants/tuition-fees-for-students-from-non-eu-states/ | https://www.fau.de/studium/international-studierende/bewerbung-und-einschreibung-fuer-internationale/studiengebuehren-fuer-studierende-aus-nicht-eu-staaten/ | https://www.fau.eu/2026/07/news/einfuehrung-von-studiengebuehren-fuer-zukuenftige-internationale-studierende-aus-nicht-eu-staaten/"
2026-08-02T21:19:44.956Z,chemical-engineering-sustainable-msc-fau,fau-erlangen-nurnberg,,on_request,0,0,"https://www.fau.eu/studying/international-students/application-and-enrollment-for-international-applicants/tuition-fees-for-students-from-non-eu-states/ | https://www.fau.de/studium/international-studierende/bewerbung-und-einschreibung-fuer-internationale/studiengebuehren-fuer-studierende-aus-nicht-eu-staaten/ | https://www.fau.eu/2026/07/news/einfuehrung-von-studiengebuehren-fuer-zukuenftige-internationale-studierende-aus-nicht-eu-staaten/"
2026-08-02T21:19:45.009Z,mechanical-engineering-msc-fau,fau-erlangen-nurnberg,,on_request,0,0,"https://www.fau.eu/studying/international-students/application-and-enrollment-for-international-applicants/tuition-fees-for-students-from-non-eu-states/ | https://www.fau.de/studium/international-studierende/bewerbung-und-einschreibung-fuer-internationale/studiengebuehren-fuer-studierende-aus-nicht-eu-staaten/ | https://www.fau.eu/2026/07/news/einfuehrung-von-studiengebuehren-fuer-zukuenftige-internationale-studierende-aus-nicht-eu-staaten/"
2026-08-02T21:19:45.063Z,mechatronics-msc-fau,fau-erlangen-nurnberg,,on_request,0,0,"https://www.fau.eu/studying/international-students/application-and-enrollment-for-international-applicants/tuition-fees-for-students-from-non-eu-states/ | https://www.fau.de/studium/international-studierende/bewerbung-und-einschreibung-fuer-internationale/studiengebuehren-fuer-studierende-aus-nicht-eu-staaten/ | https://www.fau.eu/2026/07/news/einfuehrung-von-studiengebuehren-fuer-zukuenftige-internationale-studierende-aus-nicht-eu-staaten/"
